"group","position","value","feature"
"Homeostatic Microglia",-256,0.0516542876434841,"IRF7"
"Homeostatic Microglia",-255,0.0563808237677245,"IRF7"
"Homeostatic Microglia",-254,0.0310600945307225,"IRF7"
"Homeostatic Microglia",-253,0.0550303848750844,"IRF7"
"Homeostatic Microglia",-252,0.0590817015530047,"IRF7"
"Homeostatic Microglia",-251,0.0476029709655638,"IRF7"
"Homeostatic Microglia",-250,0.0776502363268062,"IRF7"
"Homeostatic Microglia",-249,0.0638082376772451,"IRF7"
"Homeostatic Microglia",-248,0.0823767724510466,"IRF7"
"Homeostatic Microglia",-247,0.0614449696151249,"IRF7"
"Homeostatic Microglia",-246,0.0533423362592843,"IRF7"
"Homeostatic Microglia",-245,0.0563808237677245,"IRF7"
"Homeostatic Microglia",-244,0.0567184334908845,"IRF7"
"Homeostatic Microglia",-243,0.0533423362592843,"IRF7"
"Homeostatic Microglia",-242,0.0614449696151249,"IRF7"
"Homeostatic Microglia",-241,0.0418636056718433,"IRF7"
"Homeostatic Microglia",-240,0.0631330182309251,"IRF7"
"Homeostatic Microglia",-239,0.0509790681971641,"IRF7"
"Homeostatic Microglia",-238,0.0449020931802836,"IRF7"
"Homeostatic Microglia",-237,0.0665091154625253,"IRF7"
"Homeostatic Microglia",-236,0.0550303848750844,"IRF7"
"Homeostatic Microglia",-235,0.0519918973666442,"IRF7"
"Homeostatic Microglia",-234,0.0577312626603646,"IRF7"
"Homeostatic Microglia",-233,0.0641458474004051,"IRF7"
"Homeostatic Microglia",-232,0.0692099932478055,"IRF7"
"Homeostatic Microglia",-231,0.0530047265361242,"IRF7"
"Homeostatic Microglia",-230,0.0685347738014855,"IRF7"
"Homeostatic Microglia",-229,0.0533423362592843,"IRF7"
"Homeostatic Microglia",-228,0.0476029709655638,"IRF7"
"Homeostatic Microglia",-227,0.0678595543551654,"IRF7"
"Homeostatic Microglia",-226,0.0607697501688049,"IRF7"
"Homeostatic Microglia",-225,0.0681971640783255,"IRF7"
"Homeostatic Microglia",-224,0.0432140445644835,"IRF7"
